"subscriptionId","resourceGroup","name","type","location","publicNetworkAccess","networkAcls","minTlsVersion","tags"
"44444444-4444-4444-4444-444444444444","rg-contoso-data-prod-eastus-001","stcontosodataprod001","microsoft.storage/storageaccounts","eastus","Enabled","Deny","TLS1_2","{""environment"":""prod"",""owner"":""team-finance"",""costCenter"":""CC1025"",""workload"":""contoso-data""}"
"22222222-2222-2222-2222-222222222222","rg-contoso-web-prod-westus3-001","stcontosowebprod001","microsoft.storage/storageaccounts","westus3","Disabled","Deny","TLS1_1","{""environment"":""prod"",""owner"":""team-ml"",""costCenter"":""CC1028"",""workload"":""contoso-web"",""dataClassification"":""public""}"
"44444444-4444-4444-4444-444444444444","rg-trader-desk-prod-westus3-001","sttraderdeskprod001","microsoft.storage/storageaccounts","westus3","Disabled","Allow","TLS1_2","{""environment"":""prod"",""owner"":""team-platform"",""costCenter"":""CC1025"",""workload"":""trader-desk"",""dataClassification"":""internal""}"
"33333333-3333-3333-3333-333333333333","rg-trader-desk-nonprod-eastus-001","sttraderdesknonprod001","microsoft.storage/storageaccounts","eastus","Disabled","Allow","TLS1_0","{""environment"":""nonprod"",""owner"":""team-finance"",""costCenter"":""CC1002""}"
"11111111-1111-1111-1111-111111111111","rg-contoso-ml-prod-westeurope-001","stcontosomlprod001","microsoft.storage/storageaccounts","westeurope","Disabled","Deny","TLS1_2","{""environment"":""prod"",""owner"":""team-ml"",""costCenter"":""CC1025"",""workload"":""contoso-ml""}"
"44444444-4444-4444-4444-444444444444","rg-finance-ledger-prod-eastus2-001","stfinanceledgerprod001","microsoft.storage/storageaccounts","eastus2","Disabled","Deny","TLS1_2","{""environment"":""prod"",""owner"":""team-platform"",""costCenter"":""CC1003"",""workload"":""finance-ledger"",""dataClassification"":""confidential""}"
"33333333-3333-3333-3333-333333333333","rg-hr-portal-nonprod-westus2-001","sthrportalnonprod001","microsoft.storage/storageaccounts","westus2","SecuredByPerimeter","Deny","TLS1_1","{""environment"":""nonprod"",""owner"":""team-platform"",""costCenter"":""CC1001""}"
"33333333-3333-3333-3333-333333333333","rg-contoso-api-nonprod-westus3-001","stcontosoapinonprod001","microsoft.storage/storageaccounts","westus3","Enabled","Deny","TLS1_2","{""environment"":""nonprod"",""owner"":""team-platform"",""costCenter"":""CC1039"",""workload"":""contoso-api""}"
"22222222-2222-2222-2222-222222222222","rg-marketing-cms-prod-westus3-001","stmarketingcmsprod001","microsoft.storage/storageaccounts","westus3","Enabled","Allow","TLS1_2","{""environment"":""prod"",""owner"":""team-iot"",""costCenter"":""CC1016"",""dataClassification"":""public""}"
"33333333-3333-3333-3333-333333333333","rg-contoso-web-nonprod-westeurope-001","stcontosowebnonprod001","microsoft.storage/storageaccounts","westeurope","Enabled","Deny","TLS1_2","{""environment"":""nonprod"",""owner"":""team-data"",""costCenter"":""CC1025""}"
